Industry,Job_Title,Annual_Salary,Extra_Compensation,Country,City,Overall_Experience,Field_Experience,Highest_Education,Gender,Race
Recruitment or HR,Director of HR,46881,0,USA,Valparaiso,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Analyst programmer,44500,7000,UK,Reading,21 - 30 years,11 - 20 years,Master's degree,Man,White
"Marketing, Advertising & PR",Marketing Strategy Manager,47663,3125,USA,"Needham, MA",11 - 20 years,5-7 years,Some college,Woman,White
Computing or Tech,Software Engineer,66415,6641,USA,Pleasant Grove,2 - 4 years,2 - 4 years,College degree,Man,White
Computing or Tech,"Senior Software Engineer, Backend",123455,0,USA,San Diego,11 - 20 years,11 - 20 years,Master's degree,Man,White
"Marketing, Advertising & PR",Associate Brand Manager,91419,9376,USA,San Francisco ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
"Accounting, Banking & Finance",Financial Analyst II,62665,0,USA,"Washington, DC",11 - 20 years,2 - 4 years,College degree,Man,Black or African American
Computing or Tech,Senior Associate,81261,7813,USA,Atlanta,5-7 years,5-7 years,College degree,Man,"Asian or Asian American, Black or African American"
Computing or Tech,Sales Excellence Manager,118767,21096,USA,Bellevue,11 - 20 years,5-7 years,Master's degree,Man,White
Business or Consulting,Marketing Manager,31254,0,USA,Memphis,11 - 20 years,8 - 10 years,College degree,Woman,White
Computing or Tech,"VP, Learning and Development ",117204,23440,USA,Raleigh ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
Law,associate,175806,7813,USA,Cleveland,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Middle Eastern or Northern African
Engineering or Manufacturing,Civil Engineer,49225,3906,USA,"Atlanta, Georgia",11 - 20 years,11 - 20 years,Master's degree,Man,White
Nonprofits,Development Director,50007,0,USA,Dallas,21 - 30 years,5-7 years,Master's degree,Woman,White
Computing or Tech,Technical Writer,48053,0,USA,Nashville,21 - 30 years,5-7 years,College degree,Woman,White
Computing or Tech,VP Product Design,189089,0,USA,Atlanta,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Director,133490,30143,Belgium,Brussels,11 - 20 years,11 - 20 years,Master's degree,Man,White
Computing or Tech,software engineer,75401,3906,USA,Richmond,2 - 4 years,2 - 4 years,College degree,Non-binary,White
Business or Consulting,Executive Administrator,78136,11720,USA,South Bend,21 - 30 years,31 - 40 years,Some college,Woman,White
Computing or Tech,Senior Product Line Manager,171899,117204,USA,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
Engineering or Manufacturing,R&D Engineer,62509,9376,USA,Santa Clara,1 year or less,1 year or less,College degree,Woman,White
Education (Higher Education),Adjunct Instructor,11720,0,USA,Chicopee,11 - 20 years,8 - 10 years,PhD,Man,White
Insurance,Processing Center Rep,32426,1250,USA,Dallas,21 - 30 years,11 - 20 years,Some college,Man,White
Nonprofits,Director,84387,0,USA,Minneapolis,31 - 40 years,11 - 20 years,PhD,Man,White
"Marketing, Advertising & PR",Account Manager,50788,3125,USA,Boston,11 - 20 years,8 - 10 years,College degree,Man,White
Nonprofits,Community Outreach Coordinator,34536,0,USA,Cleveland,5-7 years,2 - 4 years,Master's degree,Man,White
Computing or Tech,Engineer,65634,0,USA,New York City,11 - 20 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",administrative assistant,31254,0,USA,Portland,5-7 years,2 - 4 years,College degree,Non-binary,White
Computing or Tech,Software Engineer,104702,0,USA,San Francisco,2 - 4 years,2 - 4 years,College degree,Man,White
"Accounting, Banking & Finance",Agile Coach,80000,20000,England,Bedfordshire,31 - 40 years,5-7 years,High School,Man,White
Entertainment,Director,85949,13283,USA,Los Angeles,8 - 10 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
Nonprofits,Director of Email Marketing & Sales Operations,54695,0,USA,Alpharetta,11 - 20 years,11 - 20 years,College degree,Woman,White
Nonprofits,Managing Director,140645,0,USA,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White
Education (Higher Education),Librarian,39068,0,USA,Cleveland,5-7 years,5-7 years,Master's degree,Woman,White
Art & Design,Product Development Artist,32732,0,USA,Oshkosh,5-7 years,5-7 years,College degree,Non-binary,White
"Accounting, Banking & Finance",Executive Admin,49225,0,USA,Columbus,11 - 20 years,11 - 20 years,Some college,Woman,White
Law,Bookkeeper,30473,468,USA,Rochester,8 - 10 years,5-7 years,College degree,Non-binary,"Asian or Asian American, White"
Government and Public Administration,Business manager,41802,0,USA,Charlotte,21 - 30 years,11 - 20 years,Some college,Woman,White
Computing or Tech,Community Program Manager,82043,0,USA,Salt Lake City,11 - 20 years,8 - 10 years,College degree,Woman,White
Recruitment or HR,HR Generalist,57897,0,USA,Herndon VA,11 - 20 years,8 - 10 years,College degree,Woman,White
"Accounting, Banking & Finance",Executive admin,49225,0,USA,Columbus ,11 - 20 years,11 - 20 years,Some college,Woman,White
Engineering or Manufacturing,Production engineer and supervisor,55476,7032,USA,Hickory,2 - 4 years,1 year or less,Master's degree,Woman,White
Computing or Tech,Senior Product Manager,154709,0,USA,San Francisco,21 - 30 years,21 - 30 years,Some college,Man,White
Engineering or Manufacturing,HR Generalist,50788,0,USA,Springfield ,5-7 years,5-7 years,Master's degree,Woman,White
Education (Higher Education),Senior Administrative Assistant,36333,390,USA,,11 - 20 years,8 - 10 years,College degree,Woman,White
Nonprofits,Project Coordinator ,40411,0,Uganda,Edmonton ,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Development Associate,28910,781,USA,Prefer not to answer,5-7 years,5-7 years,College degree,Woman,White
"Accounting, Banking & Finance",Finance Manager,111734,39068,USA,Arlington,11 - 20 years,11 - 20 years,Master's degree,Woman,"Black or African American, White"
Transport or Logistics,HR Generalist,42974,3906,USA,Lynchburg,11 - 20 years,5-7 years,Master's degree,Woman,White
Health care,Community Health Worker,32224,390,USA,Houston,5-7 years,1 year or less,Some college,Man,White
Sales,"Director, Business Development",116032,0,USA,Cambridge ,5-7 years,2 - 4 years,College degree,Woman,White
"Accounting, Banking & Finance",Controller,93763,15627,USA,White Plains,11 - 20 years,11 - 20 years,College degree,Woman,White
Government and Public Administration,Writer/Editor,53702,0,Uganda,Edmonton,21 - 30 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Data Scientist,33711,385,Sweden,Stockholm,5-7 years,1 year or less,Master's degree,Woman,Middle Eastern or Northern African
Government and Public Administration,Statistician ,95326,0,USA,Rockville ,11 - 20 years,11 - 20 years,Master's degree,Woman,Black or African American
Computing or Tech,Online Course Developer,79699,3125,USA,Natick,1 year or less,1 year or less,PhD,Man,Asian or Asian American
Engineering or Manufacturing,Talent Acquisition Advisor,73291,2344,USA,Seattle,21 - 30 years,11 - 20 years,College degree,Man,White
"Marketing, Advertising & PR",Brand Management,85949,15627,USA,Minneapolis,5-7 years,1 year or less,Master's degree,Woman,Asian or Asian American
Computing or Tech,Network Security Engineer,89856,0,USA,Columbia,11 - 20 years,11 - 20 years,Some college,Man,White
Computing or Tech,Solution Architect,81015,0,Uganda,Toronto,11 - 20 years,8 - 10 years,Master's degree,Man,White
Sales,Sales Manager,74229,6250,USA,Melville,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Health care,Quality assurance technician ,39068,11720,USA,Madison,8 - 10 years,8 - 10 years,College degree,Man,White
Education (Higher Education),Library Assistant Director,67720,0,USA,Ithaca,11 - 20 years,11 - 20 years,Master's degree,Man,White
Nonprofits,Director of Development and Communications,46881,0,USA,Chicago,11 - 20 years,5-7 years,College degree,Woman,White
Nonprofits,Donation/Development Coordinator,32817,0,USA,Norfolk,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White"
Computing or Tech,Staff Software Engineer,134394,0,USA,New York City,11 - 20 years,11 - 20 years,College degree,Man,White
"Accounting, Banking & Finance",Business Analyst,70557,7813,USA,Pittsburgh,8 - 10 years,8 - 10 years,College degree,Woman,White
Computing or Tech,Help Desk Technician,35755,4688,USA,Fort Worth,5-7 years,5-7 years,College degree,Woman,White
Computing or Tech,Director of SaaS Infrastructure and Operations,125018,11720,USA,Bradenton,21 - 30 years,11 - 20 years,Some college,Man,White
Nonprofits,VP,109390,7813,USA,Arlington,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
Computing or Tech,Help Desk Support Specialist,62509,0,USA,New York City,11 - 20 years,11 - 20 years,College degree,Man,White
Education (Higher Education),Library department manager (non-IT),62509,0,USA,Atlanta,21 - 30 years,11 - 20 years,Master's degree,Woman,White
Hospitality & Events,Server,10157,0,USA,Kennewick,5-7 years,2 - 4 years,High School,Woman,White
Computing or Tech,"Senior Advisor, Data Science",75135,7813,USA,Oklahoma City,8 - 10 years,2 - 4 years,College degree,Man,"Native American or Alaska Native, White"
Education (Higher Education),Archivist -- Project Manager,54695,0,USA,Medford,5-7 years,8 - 10 years,Master's degree,Non-binary,White
Law,Filing manager,28910,19534,USA,Saint Paul ,11 - 20 years,11 - 20 years,College degree,Woman,Black or African American
Computing or Tech,Na,78136,2344,USA,Hicksville ,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American
Education (Higher Education),Dean of University Libraries,132831,0,USA,Baltimore,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Engineering or Manufacturing,Software Engineer,96889,7813,USA,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White
Recruitment or HR,Recruiter ,46881,0,USA,Memphis ,8 - 10 years,8 - 10 years,Master's degree,Woman,White
Education (Higher Education),Writer,56258,0,USA,Ithaca,31 - 40 years,31 - 40 years,Master's degree,Woman,White
Health care,acupuncturist,85949,0,USA,orlando,11 - 20 years,5-7 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Creative Strategist,29691,1562,USA,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
Insurance,benefit payments representative,35299,390,USA,Saint Paul,11 - 20 years,2 - 4 years,Some college,Non-binary,White
Nonprofits,Research Coordinator,58602,390,USA,Washington D.C. ,5-7 years,5-7 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Director of Communications,71885,9376,USA,Portland,8 - 10 years,5-7 years,Master's degree,Woman,White
Law,Associate Attorney,66415,7813,USA,Atlanta,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Man,White
Computing or Tech,Data Analyst,54695,3906,USA,,5-7 years,5-7 years,Master's degree,Woman,White
Retail,Director of Data and Reporting,98451,11720,USA,Dallas,21 - 30 years,21 - 30 years,Some college,Man,White
"Marketing, Advertising & PR",SEO Coordinator,35161,0,USA,Birmingham,5-7 years,2 - 4 years,Master's degree,Woman,White
Nonprofits,Librarian,39068,0,USA,Nashville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
Government and Public Administration,Admin Assistant,15002,156,USA,I'm not comfortable answering that.  Small town with something around 5k people.,11 - 20 years,5-7 years,High School,Man,White
Computing or Tech,Senior Consultant,68526,2192,New Zealand,Auckland,11 - 20 years,5-7 years,College degree,Woman,White
Computing or Tech,Software-Developer,52534,0,Germany,Cologne,8 - 10 years,8 - 10 years,College degree,Man,White
Education (Higher Education),Library Department Head,69541,0,USA,Evanston,11 - 20 years,5-7 years,Master's degree,Man,White
Government and Public Administration,Civil servant,59000,0,UK,"London, UK",2 - 4 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Business Analyst,59383,0,USA,Lansing,5-7 years,8 - 10 years,College degree,Man,White
Education (Higher Education),Associate Librarian,49761,11720,USA,Laramie,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
Law,Compliance analyst,42000,1000,UK,London,2 - 4 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Staff Software Engineering Manager,164086,39068,USA,New York City,8 - 10 years,8 - 10 years,College degree,Man,White
Law,Senior Counsel,134785,0,USA,Oakland,11 - 20 years,11 - 20 years,PhD,Woman,White
Law,Articling Student,39007,300,Uganda,"Vancouver, BC",1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
Recruitment or HR,HR Business Partner ,70322,0,USA,"Oakland, CA ",8 - 10 years,2 - 4 years,College degree,Woman,White
Insurance,Case Coordinator,32035,0,USA,Bloomington,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Director,96000,0,UK,London,11 - 20 years,11 - 20 years,Master's degree,Man,White
Health care,RN Case Manager,66415,0,USA,Phoenix,31 - 40 years,31 - 40 years,College degree,Woman,White
Business or Consulting,Underwriter,50788,15627,USA,Boston,2 - 4 years,1 year or less,College degree,Woman,White
"Accounting, Banking & Finance",Director,159398,27347,USA,NYC,21 - 30 years,21 - 30 years,Master's degree,Man,Asian or Asian American
"Marketing, Advertising & PR",CPG Marketing Analyst,56258,4688,USA,Chicago,1 year or less,1 year or less,College degree,Woman,White
Computing or Tech,Technical Support,35083,1562,USA,West Palm Beach,5-7 years,5-7 years,College degree,Man,White
Social Work,Provider Network Auditor,45319,546,USA,Saginaw,8 - 10 years,5-7 years,College degree,Woman,White
Nonprofits,Coordinator,42193,0,USA,Detroit,5-7 years,5-7 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Director of Marketing and Communications ,83605,6250,USA,San Diego,11 - 20 years,11 - 20 years,College degree,Woman,White
Computing or Tech,Frontend Designer,50788,390,USA,Dayton,11 - 20 years,8 - 10 years,College degree,Woman,White
Government and Public Administration,Director of IT,101577,0,USA,Philadelphia ,21 - 30 years,21 - 30 years,Master's degree,Man,White
Health care,Clinical Research Associate,29254,0,USA,Suffolk County,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
Government and Public Administration,Director,31004,1722,Croatia,Zagreb,11 - 20 years,11 - 20 years,PhD,Man,White
Computing or Tech,Lead software engineer,62008,0,Lithuania,Vilnius,5-7 years,5-7 years,Master's degree,Man,White
"Marketing, Advertising & PR",Executive Administrator,54695,1562,USA,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
Computing or Tech,Technical Support Specialist I,18752,0,USA,San Antonio,8 - 10 years,11 - 20 years,Some college,Woman,Black or African American
Sales,Account Manager ,54695,23440,USA,Washington ,5-7 years,5-7 years,College degree,Man,White
Education (Higher Education),Director of Research Development ,87762,0,USA,Seattle ,11 - 20 years,8 - 10 years,PhD,Woman,White
Computing or Tech,Engineering Manager,57000,1500,UK,Bristol,11 - 20 years,11 - 20 years,College degree,Man,White
Engineering or Manufacturing,Controls Engineer,66415,0,USA,Greensboro,11 - 20 years,11 - 20 years,College degree,Man,White
Government and Public Administration,Clerk,47109,0,Uganda,North of Toronto,11 - 20 years,8 - 10 years,College degree,Woman,White
Engineering or Manufacturing,validation engineer,75464,3125,USA,los angeles,5-7 years,2 - 4 years,Master's degree,Man,Asian or Asian American
Computing or Tech,Senior Software Engineer,105640,10564,USA,New York City,11 - 20 years,2 - 4 years,Master's degree,Woman,White
Business or Consulting,Technology consultant ,54695,0,USA,Atlanta,1 year or less,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin"
Engineering or Manufacturing,Aerospace engineer ,81261,0,USA,Fort Worth ,5-7 years,5-7 years,College degree,Woman,White
Nonprofits,Development Director,101577,0,USA,San Diego,11 - 20 years,11 - 20 years,Master's degree,Woman,White
"Marketing, Advertising & PR",Creative Awards Manager,70322,0,USA,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,"Asian or Asian American, White"
